,title,link,synopsis
42,Ani Berates Muharto,[Ani Berates Muharto](../synopsis/ani_berates_muharto.md),
121,Ani Berates Westerling,[Ani Berates Westerling](../synopsis/ani_berates_westerling.md),
27,Ani Serves Rice,[Ani Serves Rice](../synopsis/ani_serves_rice.md),
119,Backgrounder,[Backgrounder](../synopsis/backgrounder.md),"In a telephone call, Richard, Cameron’s editor in Hong Kong, tells him to confirm Muharto’s account with newspaper archive research."
131,Bambang Cannot Conceal Envy,[Bambang Cannot Conceal Envy](../synopsis/bambang_cannot_conceal_envy.md),Bambang cannot conceal his envy of Moeljono when his fellow aviator flies the twin-engine Avro-anson from Bukittinggi to Jogjakarta.
135,Bambang Decides To Fly,[Bambang Decides To Fly](../synopsis/bambang_decides_to_fly.md),
30,Bambang Gets Place,[Bambang Gets Place](../synopsis/bambang_gets_place.md),"With the reassignment of Muharto to headquarters, Bambang gets his coveted permanent spot in the right-hand seat of RI-002."
46,Bambang Ingratiates Himself,[Bambang Ingratiates Himself](../synopsis/bambang_ingratiates_himself.md),Bambang attempts to ingratiate himself with Soekarno in the hopes of being selected to pilot the future RI-001.
69,Bambang Saptoadji Messes Landing,[Bambang Saptoadji Messes Landing](../synopsis/bambang_saptoadji_messes_landing.md),"Bambang Saptoadji messes up a landing during an air show, severely damaging one of the Republic’s few serviceable aircraft."
39,Bamboo Runway,[Bamboo Runway](../synopsis/bamboo_runway.md),Muharto convinces villagers to tear apart their village in order to use the bamboo-mat walls as a makeshift runway for Freebergs stranded Dakota.
141,Banteng Merah,[Banteng Merah](../synopsis/banteng_merah.md),Muharto is moved to tears upon witnessing the unpresidented spectacle of an aircraft bearing the colors of the Indonesian flag.
162,Bob Arrives,[Bob Arrives](../synopsis/bob_arrives.md),Bob arrives in Manila and is soon hired by CALI as a cargo pilot.
102,Bob Bought Suits,[Bob Bought Suits](../synopsis/bob_bought_suits.md),"With the ordered suits still missing in transit and a new supply of textiles in Manila, Bob purchases tailor-made suits."
89,Bob Buys An Olds,[Bob Buys An Olds](../synopsis/bob_buys_an_olds.md),Bob sends part of his share from the quinine sale to a automobile dealership in Parsons to purchase an Oldsmobile for his parents.
61,Bob Defies Suryadarma,[Bob Defies Suryadarma](../synopsis/bob_defies_suryadarma.md),"Exhausted after the Soekarno tour, and with RI-002 in desperate need of repair, Bob refuses a direct order from Suryadarma and instead departs for Manila."
124,Bob Furious,[Bob Furious](../synopsis/bob_furious.md),
11,Bob Lands On Beach,[Bob Lands On Beach](../synopsis/bob_lands_on_beach.md),"Bob Freeberg lands his unmarked Dakota cargo plane on a remote beach in southwest Java, where Republican soldiers believe he is a Dutch spy."
68,Bob Meets Soekarno,[Bob Meets Soekarno](../synopsis/bob_meets_soekarno.md),"Muharto takes Bob to meet Soekarno, and the Indonesian president implores Bob to aid the beleaguered Republic by flying in critical supplies."
40,Bob Meets Suryadarma,[Bob Meets Suryadarma](../synopsis/bob_meets_suryadarma.md),Suryadarma orders Muharto to stop organizing blockade runs and return to his desk duties in Jogja.
80,Bob Orders Suits,[Bob Orders Suits](../synopsis/bob_orders_suits.md),"In keeping with his new status as aviation entrepreneur, Bob orders business suits from the United States."
139,Bob Puts Ri-002,[Bob Puts Ri-002](../synopsis/bob_puts_ri-002.md),
151,Bob Requests Muharto Reassigned,[Bob Requests Muharto Reassigned](../synopsis/bob_requests_muharto_reassigned.md),
50,Bob Returns,[Bob Returns](../synopsis/bob_returns.md),Bob returns to Jogja with both pilot and aircraft in good shape.
77,Bob Trains Bambang,[Bob Trains Bambang](../synopsis/bob_trains_bambang.md),"Bob gives Bambang a flying lesson in RI-002, though will considerable difficulty because of Bambang’s poor command of English."
3,Bob Walters Bitches,[Bob Walters Bitches](../synopsis/bob_walters_bitches.md),Bob Walters complains to Boedi about his business dealings with Bob Freeberg.
20,Buying RI-003,[Buying RI-003](../synopsis/buying_ri-003.md),Bob flies two Republican aviators to Bangkok on RI-002 to purchase a small aircraft to be designated RI-003.
130,Buying The Dakota,[Buying The Dakota](../synopsis/buying_the_dakota.md),Bob Freeberg joins with Bob Walters to purchase a war-surplus Dakota.
60,Called on the Carpet,[Called on the Carpet](../synopsis/warning_letter.md),"Cameron is called into Deppen, where an official berates him for being a freelance reporter and threatens deportation."
153,Cameron Assigned Syd Interview,[Cameron Assigned Syd Interview](../synopsis/cameron_assigned_syd_interview.md),"Richard loss patience at Cameron’s low output, and assigns him a human-interest piece on an Syd Jardine, a former colleague who has gained regional notoriety writing humerous pieces in a Jakarta newspaper."
165,Cameron Complains,[Cameron Complains](../synopsis/cameron_complains.md),"Cameron complains about not being able to investigate the story of military stock manipulation, and Julia realizes the source of her Eddys sudden affluence."
145,Cameron Confused By Map,[Cameron Confused By Map](../synopsis/cameron_confused_by_map.md),
